Customer ID,Account Balance,Overdraft Flag,Transaction Amount,Report Amount,Currency,Country,Transaction Date,Risk Score,Compliance Remarks,Risk Type
586,52817.34079772136,False,9699.07877972964,9699.07877972964,EUR,USA,2024-03-17 19:44:40.640175,3,,Transaction Older Than 1 Year
584,42956.50333476433,False,3323.8330578638825,3323.8330578638825,GBP,Germany,2025-01-11 19:44:40.640175,1,,Low Risk
277,95397.46484255847,False,18914.505958535643,18914.505958535643,AUD,USA,2024-12-21 19:44:40.640175,3,,Invalid Currency
203,46307.21814170147,False,17001.007675898432,17046.22115127335,CAD,Canada,2024-02-26 19:44:40.640175,6,,"Transaction Older Than 1 Year, Large Cross-Border Transaction"
908,24032.232877630544,False,13383.756523208875,13438.619063348637,EUR,USA,2024-03-27 19:44:40.640175,1,,Low Risk
945,67284.59376209613,True,9251.288264402137,9251.288264402137,JPY,France,2024-05-06 19:44:40.640175,1,,Low Risk
509,74772.34671956228,False,8241.193176274324,8241.193176274324,USD,Syria,2024-07-21 19:44:40.640175,1,,Low Risk
615,59064.043620221804,False,13022.959608347574,13022.959608347574,CAD,India,2025-02-27 19:44:40.640175,4,,Large Cross-Border Transaction
175,61380.17807398541,False,10913.18306944404,10913.18306944404,AUD,USA,2025-02-06 19:44:40.640175,3,,Invalid Currency
211,96990.89478809314,False,1254.8393865788935,1255.063501596239,CAD,Germany,2024-09-15 19:44:40.640175,1,,Low Risk
253,99006.3796254159,False,10254.92794891893,10254.92794891893,GBP,Australia,2024-03-15 19:44:40.640175,6,,"Transaction Older Than 1 Year, Large Cross-Border Transaction"
354,15252.320485301843,False,16130.008308484461,16186.970883221788,JPY,North Korea,2024-06-10 19:44:40.640175,7,Mandatory compliance review required for cross-border transfer.,"High-Risk Country Transaction, Large Cross-Border Transaction"
318,5277.171328560448,False,9190.205153163191,9190.205153163191,USD,USA,2024-05-06 19:44:40.640175,1,,Low Risk
806,96933.32330834799,False,1048.6119853098255,1048.6119853098255,JPY,Russia,2024-04-16 19:44:40.640175,1,,Low Risk
866,81398.12246872418,False,15727.70120568682,15727.70120568682,EUR,Canada,2024-12-30 19:44:40.640175,4,,Large Cross-Border Transaction
366,66553.2023475504,False,4035.262004898128,4035.8596369145002,GBP,Canada,2024-08-13 19:44:40.640175,1,,Low Risk
154,55724.44611958918,False,5179.8304894118955,5196.3112566139735,CAD,Afghanistan,2024-03-18 19:44:40.640175,3,,Transaction Older Than 1 Year
296,3831.0840560465203,False,3302.480005111595,3302.480005111595,CAD,India,2024-04-05 19:44:40.640175,1,,Low Risk
656,57870.18608551778,False,6610.999146781236,6610.999146781236,EUR,Iran,2024-04-14 19:44:40.640175,4,,High-Risk Country Transaction
531,96248.48476471691,False,15137.462598715814,15137.462598715814,CAD,Japan,2024-08-16 19:44:40.640175,4,,Large Cross-Border Transaction
946,-3568.3919764258667,False,10392.523331483708,10392.523331483708,INR,Canada,2024-08-17 19:44:40.640175,7,,"Unauthorized Overdraft, Large Cross-Border Transaction"
952,43222.78866834497,False,4105.576670272744,4105.576670272744,GBP,Australia,2024-09-14 19:44:40.640175,1,,Low Risk
541,-4509.1833938676355,False,17557.823262259295,17725.535860296037,EUR,Japan,2025-01-15 19:44:40.640175,7,,"Unauthorized Overdraft, Large Cross-Border Transaction"
365,24924.065067465126,False,17592.84128048107,17643.45016333693,GBP,Canada,2025-02-20 19:44:40.640175,4,,Large Cross-Border Transaction
934,3751.3118180246784,False,17412.86271666968,17498.28032301727,USD,Germany,2024-05-05 19:44:40.640175,1,,Low Risk
701,30157.74315069529,False,4783.53626551697,4783.53626551697,GBP,UK,2024-07-16 19:44:40.640175,1,,Low Risk
676,31167.133939394655,False,9030.274490177952,9070.088692596742,GBP,Japan,2025-01-28 19:44:40.640175,1,,Low Risk
341,42601.10021778003,False,19699.94322625609,19851.80973820138,USD,India,2025-03-13 19:44:40.640175,4,,Large Cross-Border Transaction
266,3239.7756501047515,False,15442.529401436708,15442.529401436708,EUR,Syria,2024-10-08 19:44:40.640175,4,Mandatory compliance review required for cross-border transfer.,Large Cross-Border Transaction
175,28149.159007841496,False,553.0767502989407,553.0767502989407,GBP,France,2024-04-18 19:44:40.640175,1,,Low Risk
983,50269.28153209113,False,1313.439779297236,1313.439779297236,JPY,Australia,2024-06-11 19:44:40.640175,1,,Low Risk
684,32933.588082454604,False,9283.988222478532,9283.988222478532,GBP,UK,2024-10-21 19:44:40.640175,1,,Low Risk
508,60682.263059993034,False,18185.311915172588,18185.311915172588,EUR,North Korea,2025-02-19 19:44:40.640175,7,Mandatory compliance review required for cross-border transfer.,"High-Risk Country Transaction, Large Cross-Border Transaction"
628,15338.650387134709,False,10778.648941074758,10778.648941074758,CHF,Canada,2025-03-06 19:44:40.640175,6,,"Invalid Currency, Large Cross-Border Transaction"
364,81819.67511565707,False,9961.272035605461,9961.272035605461,CAD,Russia,2024-03-17 19:44:40.640175,6,,"High-Risk Country Transaction, Transaction Older Than 1 Year"
958,11863.3331807251,False,2118.4192621330453,2118.4192621330453,AUD,Russia,2024-05-26 19:44:40.640175,3,,Invalid Currency
251,51939.87875775547,False,13139.034293438637,13180.694310677976,USD,Germany,2024-05-22 19:44:40.640175,1,,Low Risk
